country,country_id,admin1,admin1_id,admin2,admin2_id,admin3,admin3_id
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Várzea,Q961033
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Rebordelo,Q967044
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Gondar,Q983753
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Bustelo,Q1003191
Portugal,Q45,Beja District,Q321455,Alvito,Q449526,Vila Nova da Baronia,Q1019770
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Gatão,Q1018762
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Canadelo,Q1018773
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Vila Chã do Marão,Q1022002
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Fregim,Q1023224
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Fridão,Q1023234
Thailand,Q869,Phuket,Q182565,Kathu,Q182516,Kamala,Q14220126
Thailand,Q869,Phuket,Q182565,Kathu,Q182516,Pa Tong,Q15380329
Thailand,Q869,Phuket,Q182565,Kathu,Q182516,Kathu,Q15391221
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Freixo de Baixo,Q1023387
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Travanca,Q1023395
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Carneiro,Q1023398
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Cepelos,Q1023435
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Louredo,Q1023659
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Oliveira,Q1023954
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Lomba,Q1023970
South Africa,Q258,KwaZulu-Natal,Q81725,Amajuba District Municipality,Q452565,Newcastle Local Municipality,Q1983450
South Africa,Q258,KwaZulu-Natal,Q81725,Amajuba District Municipality,Q452565,Dannhauser Local Municipality,Q4833492
Portugal,Q45,Leiria District,Q244512,Alvaiázere,Q448229,Maçãs de Dona Maria,Q1669197
Portugal,Q45,Leiria District,Q244512,Alvaiázere,Q448229,Pelmá,Q2068221
Portugal,Q45,Leiria District,Q244512,Alvaiázere,Q448229,Almoster,Q2118746
Portugal,Q45,Beja District,Q321455,Alvito,Q449526,Alvito,Q1808151
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,São Simão de Gouveia,Q1246930
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Santiago de Figueiró,Q1272870
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Sanche,Q2116941
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Madalena,Q1023241
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Vila Caiz,Q1023350
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Vila Garcia,Q1023353
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Real,Q1023366
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Telões,Q1023368
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Salvador do Monte,Q1023378
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Jazente,Q1023384
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Mancelos,Q1023980
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Figueiró,Q1023987
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Freixo de Cima,Q1023992
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Padronelo,Q1023996
Portugal,Q45,Portalegre District,Q225189,Alter do Chão,Q438263,Seda,Q1997965
Portugal,Q45,Portalegre District,Q225189,Alter do Chão,Q438263,Alter do Chão,Q2259515
Portugal,Q45,Portalegre District,Q225189,Alter do Chão,Q438263,Cunheira,Q2451012
Portugal,Q45,Portalegre District,Q225189,Alter do Chão,Q438263,Chancelaria,Q2451076
Portugal,Q45,Portalegre District,Q225189,Alter do Chão,Q438263,Chancelaria (Alter do Chão),Q10862161
Tanzania,Q924,Njombe Region,Q2086273,Ludewa District,Q441811,Mlangali,Q6885673
Tanzania,Q924,Njombe Region,Q2086273,Ludewa District,Q441811,Kilondo,Q13123440
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Torre e Portela,Q20061543
Portugal,Q45,Braga District,Q326203,Amares,Q455012,"Vilela, Seramil e Paredes Secas",Q20061685
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Santa Marta do Bouro,Q608902
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Barreiros,Q808853
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Besteiros,Q830485
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Bico,Q856859
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Dornelas,Q1022079
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Sequeiros,Q1022563
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Vilela,Q1022570
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Paredes Secas,Q1022588
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Ferreiros,Q1022597
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Paranhos,Q1022600
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Seramil,Q1022607
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Goães,Q1022619
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Prozelo,Q1022625
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Santa Maria do Bouro,Q1022628
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Rendufe,Q1022629
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Figueiró,Q17510639
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,"Aboadela, Sanche e Várzea",Q18467910
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,"Amarante (São Gonçalo), Madalena, Cepelos e Gatão",Q18467974
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,"Bustelo, Carneiro e Carvalho de Rei",Q18468066
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Freixo de Cima e de Baixo,Q18468214
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,Olo e Canadelo,Q18468728
Portugal,Q45,Porto District,Q322792,Amarante,Q454875,"Vila Garcia, Aboim e Chapa",Q18469410
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Amares e Figueiredo,Q18467979
Portugal,Q45,Braga District,Q326203,Amares,Q455012,"Caldelas, Sequeiros e Paranhos",Q18468075
Portugal,Q45,Braga District,Q326203,Amares,Q455012,"Ferreiros, Prozelo e Besteiros",Q18468193
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Portela,Q1022690
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Lago,Q1022889
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Caires Parish,Q1025920
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Carrazedo,Q1044891
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Figueiredo,Q1411981
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Fiscal,Q1419659
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Amares,Q1916768
Portugal,Q45,Braga District,Q326203,Amares,Q455012,Torre,Q2438892
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Thepha,Q56477025
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Pak Bang,Q56477027
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Amahlathi Local Municipality,Q452531
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Nxuba Local Municipality,Q727225
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Great Kei Local Municipality,Q1517371
